,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS,
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM,
,223,Green Bay,Horz,17-16,-4.64,105.8,110.5,74,0.045,-2.95,100.9,103.8,5,39
,224,Brown,Ivy,15-12,-4.69,96.4,101.1,69.4,0.12,-1.19,101.6,102.8,-2.12,246
,225,UC Davis,BW,14-18,-4.77,104.7,109.4,68,-0.024,-2.55,100.7,103.2,0.63,159
,226,Louisiana,SB,14-19,-4.89,101.3,106.2,71.8,0.02,-0.38,102.6,103,-1.69,234
,227,Merrimack,NEC,20-11,-4.89,93.9,98.8,63.2,0.137,-5.75,99.7,105.4,0.4,166
,228,Lafayette,Pat,19-12,-4.91,100.6,105.5,66.9,0.101,-5.07,101,106.1,-2.99,272
,229,Miami OH,MAC,13-19,-4.99,102,107,67.1,-0.022,-0.3,102.4,102.7,-3.35,282
,230,San Diego,WCC,9-23,-5.38,94.4,99.8,70.2,-0.032,4.48,105.4,101,1.42,130
,231,North Dakota,Sum,15-18,-5.49,102.2,107.7,68.9,0.038,0.35,104.2,103.8,6.91,24
,232,Youngstown St.,Horz,18-15,-5.59,103,108.5,66.4,0.038,-5.48,99.9,105.4,-2.75,266
,233,Cal St. Northridge,BW,15-17,-5.86,107.4,113.3,70.3,0.071,-0.7,102.5,103.2,4.63,46
,234,Bryant,NEC,15-17,-6.03,97.8,103.8,70.3,-0.055,-6.58,98.9,105.5,-2.2,248
,235,UMKC,WAC,16-14,-6.09,97.5,103.6,64.9,0.048,-3.7,101.8,105.5,2.57,86
,236,Lamar,Slnd,17-15,-6.16,96.3,102.5,69.6,0.003,-6.24,100.1,106.3,2.31,96
,237,Western Michigan,MAC,13-19,-6.35,99.4,105.7,67.4,0.043,0.31,102.4,102.1,-1.46,227
