,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,187,,BSth,21-13,-1.91,105.7,107.6,69.4,0.095,-3.36,103.3,106.7,5.59
,,188,,MAC,17-15,-2.02,106.2,108.2,67.8,0.01,-1.97,104.4,106.4,-2.51
,,189,,OVC,19-15,-2.09,105,107,69.2,0.052,-2.74,103.1,105.8,4.27
,,190,,Ivy,13-16,-2.44,105.3,107.8,64.5,-0.055,-2.02,104.2,106.2,1.98
,,191,,BW,15-18,-2.62,106.1,108.7,71.8,0.027,1.11,104.7,103.5,8.21
,,192,,A10,15-18,-2.66,103.6,106.2,65.8,0.036,0.31,105.3,105,0.16
,,193,,MAC,14-17,-2.74,100.4,103.1,71.3,-0.047,-1.48,104.9,106.4,-1.72
,,194,,MAC,16-18,-2.82,100.2,103,66.7,0.022,-0.68,104.8,105.5,1.72
,,195,,WAC,20-14,-2.95,103.7,106.7,67.4,0.038,-4.43,101.9,106.4,-5.24
,,196,,Horz,16-17,-3.11,100.3,103.4,65.7,-0.023,-4.43,102.3,106.7,-2.02
,,197,,Ivy,16-15,-3.18,103.8,107,68.8,0.042,-1.86,104.8,106.7,1.49
,,198,,OVC,15-15,-3.27,97.5,100.8,65.6,0.016,-2.98,103.5,106.5,4.02
,,199,,Slnd,22-12,-3.31,102.6,105.9,65.7,0.118,-5.11,101.6,106.7,1.12
,,200,,BW,17-13,-3.38,99.1,102.5,67.9,0.034,-4,102.9,106.9,-3.64
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,201,,A10,16-16,-3.63,104.6,108.2,66.2,-0.059,-6.22,101.2,107.4,-16.97
,,202,,Pat,19-14,-3.72,105,108.7,66.6,0.03,-6.25,101.7,108,-2.44
,,203,,Slnd,19-14,-3.72,101.6,105.3,67.8,-0.059,-6.97,100.5,107.5,-1.75
,,204,,Slnd,21-15,-3.77,102.1,105.9,67.2,0.04,-4.27,102.3,106.6,4.15
,,205,,MAAC,19-14,-3.99,109.5,113.5,73.7,0.09,-4.08,102.6,106.7,-3.49
,,206,,CUSA,16-18,-4.04,105.8,109.9,65.4,0.037,2.4,105.3,102.9,4.36
,,207,,A10,13-20,-4.09,106.4,110.5,66.4,-0.013,-0.54,104.3,104.8,-3.17
,,208,,SB,15-18,-4.11,103.4,107.5,70.1,-0.026,-2.58,103,105.6,-0.19
,,209,,SB,14-18,-4.19,101.8,105.9,67.8,-0.052,-2.25,103.5,105.8,0.76
,,210,,Sum,15-15,-4.23,102.6,106.8,66.4,0.026,-2.09,104.6,106.6,-3.34
,,211,,MAC,17-17,-4.34,102.1,106.4,68.7,0.066,-1.69,104.3,106,-1.86
,,212,,MAAC,17-16,-4.37,102.1,106.4,70.5,0.051,-4.52,103,107.5,-0.9
,,213,,Slnd,18-17,-4.41,105.4,109.8,72.7,0.001,-5.45,100.7,106.1,-2.23
,,214,,NEC,18-13,-4.86,106.4,111.2,68.2,0.039,-7.41,101.3,108.7,2.45
,,215,,AE,19-14,-4.89,102.9,107.8,66.5,0.065,-6.02,101.2,107.2,-6.72
,,216,,MAAC,14-17,-4.95,99.3,104.2,65.8,-0.007,-4.26,103.5,107.7,-3.79
,,217,,MAAC,14-18,-5,95.5,100.5,62.6,-0.037,-4.4,103.9,108.3,-5.37
,,218,,BSth,18-16,-5.01,105.8,110.8,68,-0.057,-7.3,100.6,107.9,-8.04
,,219,,OVC,19-14,-5.06,98.5,103.5,70.9,0.118,-2.81,104.1,106.9,-0.53
,,220,,A10,16-17,-5.17,102.1,107.3,69.1,0.117,-0.68,105.2,105.9,-3.59
,,221,,SB,14-18,-5.32,96.9,102.2,70.4,-0.033,-2.98,103,105.9,-6.15
,,222,,CUSA,14-18,-5.33,98.4,103.7,69,-0.039,-3.16,103,106.1,-6.95
,,223,,AE,13-19,-5.33,96.8,102.1,68.4,0.009,-2.17,104.2,106.4,1.11
,,224,,MWC,11-21,-5.66,102.6,108.3,69.6,0.037,3.92,107.1,103.2,1.14
,,225,,Pat,20-12,-5.67,98.7,104.3,65.4,0.095,-8.2,100.8,109,-6.56
,,226,,BSky,14-16,-5.7,103.2,108.9,68.1,-0.005,-3.69,103.8,107.5,-2.39
,,227,,ACC,8-24,-5.76,98.9,104.7,65.2,0.007,9.14,110,100.8,-3.57
,,228,,SB,15-18,-5.79,99.8,105.6,62.7,0.003,-2.99,103.1,106.1,-6.83
,,229,,CAA,10-22,-5.97,101.4,107.4,67.9,-0.025,-2.06,105.6,107.6,-0.83
,,230,,SB,16-16,-6,100.5,106.5,66.1,0.042,-2.83,102.7,105.6,-3.19
,,231,,Ivy,8-19,-6.01,107.3,113.3,70,-0.146,-3.5,102.7,106.2,-1.21
,,232,,MAC,16-16,-6.04,102,108.1,70,0.066,-2.61,103.8,106.5,-4.63
,,233,,CUSA,12-19,-6.1,95.9,102,69.2,-0.025,-0.28,104.8,105.1,-0.38
,,234,,WCC,11-20,-6.17,107.2,113.4,66.9,0.012,0.5,105.3,104.8,-2.55
,,235,,Pat,16-14,-6.23,105.7,111.9,70.8,0.042,-6.82,101.2,108,-2.17
,,236,,Sum,11-21,-6.24,106,112.3,65.3,-0.033,2.92,107.2,104.3,8.44
,,237,,MWC,12-19,-6.25,100.5,106.8,66,0.022,1.72,105.7,104,-5.13
,,238,,NEC,18-14,-6.36,103.7,110.1,64.7,0.029,-8.63,100.7,109.4,-3.44
,,239,,BSky,12-20,-6.41,103.1,109.5,71.4,0.015,1.09,106,104.9,6.47
,,240,,CUSA,11-20,-6.49,98,104.5,67.6,-0.039,-1.14,104.3,105.4,-2.56
,,,,,,,,,,,Strength of Schedule,,,NCSOS
,,Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,,241,,BSth,14-16,-6.51,100.1,106.6,65.9,-0.082,-6.42,101.6,108,-1.82
,,242,,WAC,12-18,-6.65,97.3,103.9,65.3,-0.024,0.64,105.5,104.9,4.67
,,243,,SWAC,16-20,-6.65,104.6,111.2,71.7,-0.01,-6.3,101,107.3,17.2
,,244,,P12,8-24,-7.27,98.2,105.4,68.7,0.008,5.14,108.9,103.8,-3.08
,,245,,CAA,11-21,-7.43,104.3,111.7,72,-0.023,-0.32,106.6,106.9,2.87
,,246,,BSth,15-16,-7.43,99.4,106.8,66.5,-0.019,-6.06,102.3,108.4,-1.08
,,247,,CAA,14-19,-7.57,102,109.6,65.9,0.015,-2.54,105,107.6,-3.38
,,248,,CAA,14-18,-7.62,103.6,111.3,67.3,0.061,-0.95,105.3,106.3,2.4
,,249,,MAC,13-19,-7.66,103.3,111,67,0.002,-1.45,104.8,106.2,-3.54
,,250,,MEAC,19-16,-7.68,101,108.7,71.9,-0.017,-11.05,99.5,110.6,1.01
,,251,,CAA,13-20,-7.73,103,110.7,69,0.064,-2.16,105.4,107.5,-2.43
,,252,,BSky,13-19,-7.74,102.2,110,71.7,0.062,-0.45,105.8,106.3,4.9
,,253,,NEC,16-17,-7.79,94.7,102.5,69.3,0.036,-5.74,102.7,108.5,0.95
