,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
182,Sam Houston St.,Slnd,22-9,-2.01,101.5,103.5,67.9,0.159,-3.62,100.8,104.4,3.52
183,Wright St.,Horz,13-15,-2.03,101,103,61,0.016,0.23,104.4,104.2,0.81
184,Loyola MD,MAAC,15-13,-2.13,105.3,107.4,68.8,0.076,-1.68,104.5,106.2,-4.41
185,Stephen F. Austin,Slnd,17-12,-2.23,102.8,105,63.4,-0.09,-7.96,98.1,106.1,-7.41
186,Birmingham Southern,BSth,19-9,-2.26,109,111.2,58.2,0.088,-8.33,99.3,107.6,-5.8
187,SMU,CUSA,13-16,-2.4,98.3,100.7,64.6,-0.113,-4.3,98.6,102.9,-10.33
188,Evansville,MVC,10-19,-2.42,100.4,102.9,67.4,0.046,4.64,103.7,99,-5.9
189,Southeastern Louisiana,Slnd,16-12,-2.64,101,103.6,61.6,0,-4.97,100.5,105.5,1.46
190,UCF,CUSA,14-15,-2.74,99.9,102.6,62,-0.027,-3.23,100.1,103.3,-7.62
191,UT Arlington,Slnd,14-16,-2.86,102.5,105.3,66.2,-0.07,-1.85,102.3,104.1,5.98
192,Lehigh,Pat,19-12,-3.05,96.8,99.8,63.7,0.065,-6.77,98.2,105,-4.09
193,Green Bay,Horz,15-16,-3.06,102.8,105.8,63.1,0.056,-0.04,104.2,104.2,-0.53
194,Binghamton,AE,16-13,-3.19,95.8,99,63.3,0.015,-6.83,100.1,107,-1.6
195,Austin Peay,OVC,17-14,-3.21,102.8,106,66.7,0.032,-5.53,101.6,107.1,-1.38
196,Vermont,AE,13-17,-3.38,98.5,101.9,64.7,-0.067,-3.85,100.2,104.1,2.34
197,Southern 16,SWAC,19-13,-3.4,96.2,99.6,64.8,0.081,-7.68,96.6,104.3,13.07
198,San Jose St.,WAC,6-25,-3.49,95.8,99.3,67.9,-0.14,3.15,105.8,102.7,1.71
199,Ball St.,MAC,10-18,-3.5,98.2,101.7,63.3,-0.092,0.69,103.3,102.6,3.78
200,Idaho St.,BSky,13-14,-3.52,104.6,108.2,71,-0.015,-2.73,102.4,105.2,-4.65
201,Delaware St. 10,MEAC,21-14,-3.57,102.1,105.7,54.5,0.106,-5.11,98.6,103.7,14.07
202,Tennessee Tech,OVC,19-12,-3.63,100.4,104,68.4,0.104,-4.08,102.6,106.7,8.49
203,Boston University,AE,12-16,-3.87,97.1,101,59.3,-0.042,-3.53,100.6,104.1,5
204,Pepperdine,WCC,7-20,-4.31,97.1,101.4,66.7,-0.016,4.77,106.2,101.4,7.44
205,Jacksonville St.,OVC,16-13,-4.4,106.6,111,70,0.033,-5.74,101.3,107,1.05
206,Lamar,Slnd,17-14,-4.44,103.7,108.1,72.2,0.005,-5.79,100.1,105.9,-3.27
207,North Texas,SB,14-14,-4.45,102.5,106.9,71.8,0.001,-1.75,100.8,102.5,-2.27
208,Tennessee St.,OVC,13-15,-4.54,104.2,108.7,65,-0.03,-4.06,102.3,106.3,6.95
209,Tulane,CUSA,12-17,-4.93,94.7,99.6,65.9,0.008,-0.22,101.4,101.6,0.53
210,Canisius,MAAC,9-20,-4.97,103.6,108.5,64.6,-0.066,-0.79,105.3,106.1,-3.32
211,Tulsa,CUSA,11-17,-5.05,94.2,99.2,64.4,0.014,-0.32,101.8,102.1,-1.77
212,Portland,WCC,11-18,-5.14,102.6,107.7,65.6,0.046,1.39,103.2,101.8,0
213,High Point,BSth,16-13,-5.21,100.8,106,70.4,0.041,-5.22,101.3,106.6,-1.57
214,Montana St.,BSky,15-15,-5.26,103.4,108.7,66.7,0.035,-3.89,102.2,106.1,-6.98
215,Arkansas Little Rock,SB,14-15,-5.28,95.6,100.9,64.6,0.012,-3.75,101.1,104.8,-6.34
216,Arkansas St.,SB,12-18,-5.35,104.7,110,67.2,-0.028,-0.8,101.5,102.3,1.27
217,Rice,CUSA,12-16,-5.36,100.2,105.6,65.3,0.03,0.29,101.4,101.1,0.4
218,McNeese St.,Slnd,14-14,-5.56,97.9,103.5,70,0.026,-2.91,100.6,103.5,5.51
219,Georgia St.,CAA,7-22,-5.62,102.3,107.9,63.6,-0.104,2.48,103.8,101.3,0.52
220,East Tennessee St.,ASun,15-13,-5.73,99.7,105.4,73,-0.066,-11.41,98.8,110.2,-3.36
221,Delaware,CAA,9-21,-5.73,96.8,102.6,67.6,-0.033,1.03,103.7,102.6,-5.26
222,Tennessee Martin,OVC,13-15,-5.88,103.3,109.2,67.5,-0.003,-4.06,102,106,8.19
223,Marshall,CUSA,12-16,-6.02,98.1,104.1,65.2,0.034,-2.45,100.6,103,-5.28
224,Furman,SC,15-13,-6.04,102.6,108.7,62.6,-0.016,-6.21,100.6,106.8,-3.91
225,Fairfield,MAAC,9-19,-6.12,106.4,112.5,65.5,0.034,1.45,105.5,104.1,4.71
226,UTSA,Slnd,11-17,-6.13,99.9,106,69.9,-0.081,-3.44,100.6,104,-0.98
227,Elon,SC,15-14,-6.23,97.6,103.8,64,0.076,-2.22,103,105.2,6.26
228,Utah Valley St.,ind,16-13,-6.37,101.8,108.2,59.3,-0.011,-8.52,99,107.5,-7.1
229,Rider,MAAC,8-20,-6.39,100.9,107.3,67.6,-0.035,1,105.1,104.1,2.83
230,Radford,BSth,16-13,-6.48,104.1,110.6,67,0.047,-6.81,99.5,106.3,-3.14
231,New Orleans,SB,10-19,-6.53,99.1,105.6,63,0.002,1.27,102.6,101.3,7.17
232,Western Michigan,MAC,14-17,-6.55,96.6,103.2,64.7,0.103,0.74,103.2,102.5,3.25
233,Cornell,Ivy,13-15,-6.71,98.9,105.6,62.1,-0.029,-6.4,98.9,105.3,-1.4
234,Chicago St.,MCon,11-19,-6.9,101.2,108.1,65.3,0.043,-0.62,104.3,104.9,11.15
235,William & Mary,CAA,8-20,-7.05,98.6,105.7,65.3,-0.07,0.02,102.5,102.4,-8.29
236,Chattanooga,SC,19-13,-7.18,98.8,106,67.1,0.107,-4.99,100.7,105.7,-2.42
237,St. Bonaventure,A10,8-19,-7.24,100.3,107.5,67.5,-0.064,-0.27,103.5,103.8,-4.36
238,Appalachian St.,SC,14-16,-7.25,100.6,107.8,64.1,0.021,-4.79,101,105.8,0.12
