									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
176	Albany	AE	15-15	-1.82	103.1	104.9	63.4	-0.063	-5.85	100.2	106.1	-2.33
177	TCU	MWC	14-16	-1.87	100.7	102.5	66.7	-0.018	0.09	101.9	101.8	-13.31
178	Central Michigan	MAC	14-17	-2.06	103.1	105.2	67.9	0.082	2.54	104.3	101.8	7.64
179	New Orleans	SB	19-13	-2.07	104.7	106.7	68.2	0.048	-3.36	101.8	105.2	-5.63
180	UT Arlington 16	Slnd	21-12	-2.31	101.3	103.6	68.6	0.045	-4.81	99.5	104.3	-5.9
181	Buffalo	MAC	10-20	-2.46	100.6	103.1	71.2	-0.104	0.96	103.7	102.8	-2.09
182	Eastern Michigan	MAC	14-17	-2.48	104.7	107.2	62.4	0	-1.21	103.1	104.3	-1.79
183	Rutgers	BE	11-20	-2.52	96.2	98.8	64.6	0.022	5.88	106.7	100.8	-8.11
184	Elon	SC	14-19	-2.63	98	100.6	61.8	0.001	0.21	104.3	104.1	4.35
185	Lafayette	Pat	15-15	-2.64	106.5	109.2	68.6	-0.036	-4.88	99.2	104.1	-4.96
186	Weber St.	BSky	16-14	-2.72	99.6	102.4	63.9	0.012	-5.06	102	107	0.04
187	High Point	BSth	17-14	-2.76	103.3	106	61.9	-0.077	-6.36	100.5	106.8	-2.78
188	Gardner Webb	ASun	16-16	-2.97	103.6	106.6	70.1	-0.037	-5.49	100.4	105.9	1.9
189	William & Mary	CAA	17-16	-2.99	100.3	103.3	61.4	0.053	-1.04	102.2	103.2	-2.13
190	Fresno St.	WAC	13-19	-3.02	98.8	101.8	66.6	-0.096	-2.72	103.1	105.8	-2.46
191	Northwestern	B10	8-22	-3.2	105.3	108.5	61	-0.059	8.25	107.4	99.1	-3.39
192	Colgate	Pat	18-14	-3.2	98.1	101.3	63.9	0.038	-5.71	100.2	105.9	-6.27
193	Arkansas Little Rock	SB	20-11	-3.28	95	98.3	64.7	0.092	-5.46	101	106.5	-9.11
194	Wyoming	MWC	12-18	-3.32	100.8	104.1	68.6	-0.018	2.35	104.3	102	-2.74
195	Louisiana Lafayette	SB	15-15	-3.42	97.6	101	63.5	0.035	-2.34	103.4	105.8	2.16
196	Montana	BSky	14-16	-3.52	106.9	110.4	62.2	-0.08	-3.97	101.9	105.8	2.41
197	Lipscomb	ASun	15-16	-3.59	101.3	104.9	66.2	-0.077	-6.32	99.8	106.1	-2.59
198	IPFW	Sum	13-18	-3.85	100.5	104.4	65.6	-0.006	1.56	105	103.5	13.11
199	Loyola Chicago	Horz	12-19	-3.88	100.1	104	60.3	0.037	2.28	104.3	102	1.49
200	Navy	Pat	16-14	-3.92	101.5	105.4	73.3	-0.069	-8.48	97.3	105.7	-11.64
201	Central Connecticut	NEC	14-16	-3.96	104.3	108.3	62.5	-0.07	-6.62	100.5	107.1	-3.13
202	Murray St.	OVC	18-13	-3.97	104.3	108.3	63.8	-0.023	-8.8	100.8	109.6	4.03
203	Wofford	SC	16-16	-4.05	106.7	110.8	61.2	0.034	1.17	104	102.9	11.09
204	Bowling Green	MAC	13-17	-4.3	100.5	104.8	63.7	0.05	0.84	103.9	103.1	-0.86
205	Liberty	BSth	16-16	-4.55	103.6	108.2	62.3	-0.063	-6.02	101.8	107.8	-3.33
206	Alabama St. 8	SWAC	20-11	-4.55	102	106.5	64.3	-0.034	-13.98	94.8	108.8	5.71
207	Delaware	CAA	14-17	-4.57	97.7	102.3	64.9	0.056	-0.86	101.7	102.6	1.63
208	Southeastern Louisiana	Slnd	17-13	-4.59	95.9	100.5	64.1	0.002	-4.98	99.5	104.5	-0.17
209	Sacred Heart	NEC	18-14	-4.74	101.7	106.4	67.9	0.043	-6.52	100.1	106.6	-2.31
210	Fairfield	MAAC	14-16	-4.97	105.2	110.1	60.5	0.073	-1.15	103.1	104.3	2.24
211	Jacksonville	ASun	18-13	-5.02	102.1	107.1	66.1	0.089	-5.98	100	106	5.48
212	Hampton	MEAC	18-12	-5.15	94.4	99.6	66.5	0.012	-9.14	97.6	106.8	2.03
213	LIU Brooklyn	NEC	15-15	-5.17	100.6	105.8	69.4	-0.024	-7.44	99.4	106.8	-6.9
214	Hofstra	CAA	12-18	-5.17	97.9	103	67.2	-0.001	-2.29	101.5	103.7	-1.97
215	Utah Valley St.	ind	15-14	-5.22	105	110.2	60.6	-0.045	-6.71	100.2	107	-0.53
216	James Madison	CAA	13-17	-5.33	103.9	109.3	68.6	-0.029	-3.45	101.6	105	-8.35
217	Evansville	MVC	9-21	-5.47	98.8	104.3	62.8	-0.044	3.48	105.6	102.2	-7.24
218	St. Bonaventure	A10	8-22	-5.58	104.7	110.2	64.8	-0.058	2.25	104.7	102.5	-3.98
219	Iona	MAAC	12-20	-5.7	95.2	100.9	66.3	-0.026	-2.49	103	105.5	-0.45
220	Southern Utah	Sum	11-19	-5.82	102.2	108	64.7	0.027	-1.39	104.2	105.6	1.64
