,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
241,Georgia St.,CAA,11-20,-8.69,100.8,109.5,64.2,0.046,0.39,104.8,104.4,-2.97
242,UNC Asheville,BSth,12-19,-8.93,96.9,105.9,68,-0.018,-1.75,104.6,106.3,4.97
243,Louisiana Monroe,SB,18-14,-8.99,101.5,110.5,67.3,0.102,-5.57,102.1,107.7,4.25
244,Rider,MAAC,16-15,-9.08,102.1,111.2,67.7,0.111,-6.26,100.6,106.8,-2.96
245,Canisius,MAAC,12-19,-9.13,100.2,109.4,67,-0.015,-5.62,101.7,107.3,-2.32
246,Jacksonville,ASun,15-14,-9.33,100.5,109.8,70.2,0.076,-7.19,100.2,107.3,7.29
247,Hampton,MEAC,15-16,-9.33,93.7,103,69.1,-0.016,-10.88,98.5,109.4,1.5
248,IPFW,ind,12-17,-9.34,98.8,108.2,66.8,0.015,-1.23,103.6,104.8,3.51
249,Wofford,SC,10-20,-9.41,104.8,114.2,66,-0.016,-0.29,103.7,104,8.54
250,Mississippi Valley St. 8,SWAC,18-16,-9.45,93.4,102.9,63.6,0.062,-10.79,95.7,106.4,5.93
251,Jackson St. 16,SWAC,21-14,-9.48,100.2,109.7,69.7,0.14,-10.16,95.6,105.8,7.09
252,Lehigh,Pat,12-19,-9.49,98.3,107.8,63,-0.005,-4.27,101.1,105.4,-1.3
253,Quinnipiac,NEC,14-15,-9.51,98.9,108.4,69.5,0.023,-8.38,100,108.3,-4.2
