,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,210,Norfolk St. 16,MEAC,17-8,-4.47,99.1,103.6,67.5,0.09,-7.09,98.1,105.2,-0.76
,211,Campbell,BSth,17-10,-4.64,102.9,107.6,63.9,0.064,-5.23,99,104.3,-1.81
,212,Appalachian St. 16,SB,17-12,-4.71,98.4,103.1,65.5,0.039,-2.83,100.4,103.3,5.52
,213,Seattle,WAC,12-11,-4.96,98.6,103.5,68.8,-0.036,-1.24,102.7,103.9,-1.33
,214,Loyola MD,Pat,6-11,-5.02,96.8,101.8,68.4,-0.19,-4.36,101.9,106.3,-99
,215,Austin Peay,OVC,14-13,-5.04,104,109,66.8,-0.071,-5.33,98.6,103.9,-1.46
,216,Milwaukee,Horz,10-12,-5.05,101.8,106.9,69.8,-0.01,-2.14,101.9,104.1,0.69
,217,South Alabama,SB,17-11,-5.08,103.3,108.4,66.5,0.043,-3.09,99.2,102.3,-1.13
,218,The Citadel,SC,13-12,-5.13,104,109.1,74.2,0.064,2.53,104.2,101.6,-10.53
,219,Penn,Ivy,0-0,-5.13,100.2,105.3,69.2,0,-99,0,200,-99
,220,Cornell,Ivy,0-0,-5.2,101.3,106.5,66.8,0,-99,0,200,-99
,221,Oakland,Horz,12-18,-5.28,103.9,109.2,69.6,0.046,2.29,105.4,103.1,19.69
,222,Saint Peter's,MAAC,14-11,-5.37,90.4,95.8,66.7,-0.006,-6.37,98.3,104.6,3.94
,223,Morgan St.,MEAC,14-8,-5.71,100,105.7,71.9,-0.037,-8.44,95.8,104.3,0.09
,224,Wagner,NEC,13-7,-5.72,100.8,106.5,65.5,0.068,-8.56,97.8,106.4,19.76
,225,Delaware,CAA,7-8,-6.08,97,103.1,66.5,-0.069,-4.03,101.9,105.9,-2.15
,226,Monmouth,MAAC,12-8,-6.09,99,105.1,74.2,0.05,-6.16,96.9,103.1,-3.73
,227,George Washington,A10,5-12,-6.17,101.6,107.8,67.8,-0.094,0.63,99.9,99.2,-6.36
,228,Northern Colorado,BSky,11-11,-6.19,99,105.1,67.8,-0.004,-2.05,100.8,102.9,14.75
,229,Cal Baptist,WAC,13-10,-6.23,104.3,110.6,70.5,-0.016,-4.46,99.8,104.2,-8.93
,230,UMass Lowell,AE,11-12,-6.29,99.8,106.1,69,0.055,-1.81,100.3,102.1,12.68
,231,UC San Diego,BW,7-10,-6.29,101.7,108,69.7,0.023,6.01,104,98,6.01
,232,Charleston,CAA,9-10,-6.35,102.2,108.6,63.5,-0.03,-2.06,101.5,103.6,2.49
,233,Stetson,ASun,12-15,-6.46,100.3,106.8,67.8,-0.006,-2.07,101.7,103.8,8.03
,234,Charlotte,CUSA,9-16,-6.49,97.3,103.8,62.7,-0.032,0.99,102.5,101.5,-4.6
,235,Prairie View A&M,SWAC,16-5,-6.51,94.6,101.2,69.2,0.111,-13.88,93.3,107.2,7.32
,236,Stony Brook,AE,9-14,-6.61,94.7,101.3,66.4,-0.09,-3.12,100.2,103.3,2.2
,237,Mount St. Mary's 16,NEC,12-11,-6.62,94.5,101.1,61.6,-0.004,-6.45,99.4,105.9,11.14
,238,Lipscomb,ASun,15-12,-6.74,100.9,107.7,66,0.024,-3.63,100.2,103.8,3.14
,239,Little Rock,SB,11-15,-6.86,98.4,105.3,67,-0.04,-2.76,99.8,102.6,3.86
,240,Albany,AE,7-9,-6.91,97.3,104.2,69.6,-0.079,-4.5,98.9,103.4,-3.88
,241,Western Carolina,SC,11-16,-7.07,99.9,106.9,70.5,0.031,1.92,104.4,102.5,-3.78
,242,Long Beach St.,BW,6-12,-7.12,97.6,104.7,73.7,-0.011,0.68,102.4,101.7,4.92
,243,Radford,BSth,15-12,-7.12,97.7,104.8,63.5,0.023,-4.51,100.1,104.6,8.22
,244,UNC Asheville,BSth,10-10,-7.13,100.6,107.8,68.2,-0.008,-5.46,99.4,104.9,-4.57
,245,Portland St.,BSky,9-13,-7.17,93.1,100.3,69.2,-0.135,-2.41,101.1,103.6,10.17
,246,Youngstown St.,Horz,15-12,-7.31,102.2,109.5,67.6,0.032,-4.05,102,106,-9.99
,247,Longwood,BSth,12-17,-7.33,98,105.4,65,-0.027,-4.04,100.4,104.5,1.92
,248,UNC Wilmington,CAA,7-10,-7.42,102.1,109.5,69,-0.122,-4.61,100.1,104.7,-2.07
,249,Brown,Ivy,0-0,-7.7,95.2,102.9,69.7,0,-99,0,200,-99
