,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
244,Norfolk St.,MEAC,22-14,-7.23,98.5,105.7,69.2,0.059,-9.6,98,107.6,1.35
245,Morehead St.,OVC,13-20,-7.27,102.7,110,67.2,0.06,-0.12,104.9,105,5.35
246,Middle Tennessee,CUSA,11-21,-7.28,98.3,105.6,67.6,0.013,1.7,104.1,102.4,10.01
247,Jacksonville,ASun,12-20,-7.41,99.1,106.5,70.9,-0.056,-3.47,102.5,105.9,-4.21
248,Rice,CUSA,13-19,-7.45,103.2,110.7,70.1,0,-2.19,101.3,103.5,0.38
249,Troy,SB,12-18,-7.49,102.9,110.4,67,0.053,-0.57,104.5,105,0.97
250,Montana St.,BSky,15-17,-7.57,107.8,115.4,70,0.008,-6.49,102.2,108.7,3.49
251,Drexel,CAA,13-19,-7.57,105.6,113.2,69.1,0.004,-3.15,104.6,107.7,-1.56
252,UC Davis,BW,11-20,-7.61,96.5,104.1,65.9,-0.043,-1.91,103.1,105,4.75
253,Cal St. Northridge,BW,13-21,-7.74,104.8,112.5,70.9,-0.018,-4.63,101.7,106.3,-4.09
254,Arkansas St.,SB,13-19,-7.8,102.4,110.2,68.3,0.086,-0.66,104.8,105.4,0.59
255,Western Michigan,MAC,8-24,-7.82,99.2,107,69.2,-0.039,2.43,106.2,103.7,-3.16
256,Longwood,BSth,16-18,-7.83,99.5,107.3,67.2,-0.023,-5.51,102.7,108.2,-9.95
257,The Citadel,SC,12-18,-7.83,106.7,114.5,73.6,0.028,1,105.4,104.4,0.62
